Postal Code,Name,Poverty Estimate,Poverty Percent
CA,Plumas County,"2,509",13.5
CA,Riverside County,"275,176",11.2
CA,Sacramento County,"192,386",12.5
CA,San Benito County,"5,025",7.9
CA,San Bernardino County,"308,021",14.3
CA,San Diego County,"306,807",9.5
CA,San Francisco County,"85,356",10.0
CA,San Joaquin County,"104,295",13.9
CA,San Luis Obispo County,"28,338",10.6
CA,San Mateo County,"41,158",5.5
CA,Santa Barbara County,"44,777",10.5
CA,Santa Clara County,"123,516",6.6
CA,Santa Cruz County,"27,524",10.7
CA,Shasta County,"24,570",13.9
CA,Sierra County,331,11.5
CA,Siskiyou County,"6,086",14.3
CA,Solano County,"40,283",9.3
CA,Sonoma County,"37,609",7.8
CA,Stanislaus County,"70,568",13.0
CA,Sutter County,"10,984",11.5
CA,Tehama County,"8,467",13.3
CA,Trinity County,"2,162",18.0
CA,Tulare County,"79,348",17.1
CA,Tuolumne County,"6,158",12.1
CA,Ventura County,"75,060",9.1
CA,Yolo County,"31,066",14.8
CA,Yuba County,"12,816",16.3
CO,Colorado,"511,346",9.0
CO,Adams County,"48,180",9.4
CO,Alamosa County,"2,563",16.7
CO,Arapahoe County,"45,760",7.0
CO,Archuleta County,"1,319",9.4
CO,Baca County,585,16.9
CO,Bent County,"1,033",26.6
CO,Boulder County,"30,205",9.5
CO,Broomfield County,"2,983",4.2
CO,Chaffee County,"1,844",9.6
CO,Cheyenne County,214,12.3
CO,Clear Creek County,695,7.3
CO,Conejos County,"1,422",17.6
CO,Costilla County,854,21.8
CO,Crowley County,"1,118",37.2
CO,Custer County,611,12.2
CO,Delta County,"3,690",12.1
CO,Denver County,"89,598",12.4
CO,Dolores County,262,12.5
CO,Douglas County,"10,942",3.0
CO,Eagle County,"3,517",6.4
CO,Elbert County,"1,304",4.8
CO,El Paso County,"64,656",9.1
CO,Fremont County,"6,083",15.2
CO,Garfield County,"3,965",6.7
CO,Gilpin County,408,6.6
CO,Grand County,"1,071",6.8
CO,Gunnison County,"1,595",9.6
